Country,Suicide Rate 2016,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Threatened species (number),Forested area (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Net Official Development Assist. received (% of GNI),Labour force participation (fe pop. %),Labour force participation (male pop. %),Life expectancy at birth (females years),"Life expectancy at birth (males, years)","Population age distribution (0-14 years, %)","Population age distribution (60+ years, %)",Education: Priary gross enrol. ratio (f per 100 pop.),Education: Primary gross enrol. ratio (m per 100 pop.),Education: Secondary gross enrol. ratio (f per 100 pop.),Education: Secondary gross enrol. ratio (m per 100 pop.),Education: Tertiary gross enrol. ratio (f per 100 pop.),Education: Tertiary gross enrol. ratio (m per 100 pop.),CO2 emission estimates (million tons),CO2 emission estimates (tons per capita),Pop. using improved drinking water (urban %),"Pop. using improved drinking water (rural, %)",Pop. using improved sanitation facilities (urban %),"Pop. using improved sanitation facilities (rural, %)"
Afghanistan,6.4,0.003,0.012,0.006,,,0.231,0.098,,0.29600000000000004,SouthernAsia,652864.0,35530.0,54.4,106.3,20270.0,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125.0,125.0,1458.0,3568.0,-2110.0,-5121.0,3.2,26.7,4.0,5.3,,1513.1,68.6,8.2,0.3,3.3,27.7,8.3,42.0,2.1,63.0,5.0,21.43,0.193,0.836,0.635,0.61,0.4320000000000001,0.041,0.911,1.3159999999999998,0.397,0.7070000000000001,0.037000000000000005,0.133,0.098,0.003,0.782,0.47,0.451,0.27
Albania,5.6,0.068,0.068,0.41,,0.445,1.471,6.876,1.06,1.231,SouthernEurope,28748.0,2930.0,106.9,101.9,11541.0,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134.0,134.0,1962.0,4669.0,-2707.0,-1222.0,-0.1,57.4,2.2,1.7,,8.8,14.6,5.9,1.3,3.5,22.9,63.3,130.0,28.2,84.0,36.0,2.96,0.402,0.61,0.799,0.7559999999999999,0.174,0.19,1.117,1.155,0.925,0.988,0.6809999999999999,0.487,0.057,0.02,0.949,0.952,0.955,0.902
Angola,8.9,0.011,,,,0.014,0.057,0.66,0.022,0.179,MiddleAfrica,1246700.0,29784.0,23.9,96.2,117955.0,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175.0,176.0,21011.0,8790.0,12221.0,-10273.0,3.5,44.1,5.0,6.0,,45.7,65.4,3.3,,,38.2,12.4,146.0,46.5,3902.0,25.0,0.42,0.598,0.7709999999999999,0.63,0.574,0.468,0.04,1.004,1.569,0.227,0.35100000000000003,0.08199999999999999,0.104,0.348,0.014,0.754,0.282,0.8859999999999999,0.225
Antigua and Barbuda,0.5,1.001,,,,,1.001,7.005,4.003,,Caribbean,442.0,102.0,231.8,92.3,1356.0,4.1,14764.5,1.9,18.3,79.8,,,,,88.0,88.0,61.0,491.0,-429.0,-204.0,1.1,23.8,-0.9,2.1,,,9.1,5.5,,,11.1,65.2,55.0,22.3,,84.0,0.12,,,0.782,0.733,0.239,0.109,0.941,1.0,1.038,1.016,0.311,0.151,0.005,0.058,0.979,0.979,0.914,0.914
Argentina,9.1,0.937,1.071,1.72,,0.152,21.705,,,222.572,SouthAmerica,2780400.0,44271.0,16.2,95.9,632343.0,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119.0,119.0,57733.0,55610.0,2124.0,-15944.0,1.0,91.8,1.0,2.3,,5.0,13.7,4.8,3.8,5.3,38.9,69.4,256.0,10.0,3167.0,85.0,0.01,0.486,0.7440000000000001,0.7979999999999999,0.722,0.249,0.154,1.098,1.102,1.103,1.034,1.029,0.635,2.04,0.047,0.99,1.0,0.962,0.983
Armenia,5.7,,0.069,1.371,0.034,,3.84,11.245,0.274,0.7879999999999999,WesternAsia,29743.0,2930.0,102.9,88.8,10529.0,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135.0,135.0,1776.0,3230.0,-1455.0,-279.0,0.3,62.7,-0.1,1.6,,19.3,13.2,4.5,2.8,2.8,9.9,58.2,114.0,11.7,48.0,46.0,3.17,0.5529999999999999,0.742,0.77,0.706,0.2,0.16899999999999998,0.985,0.985,0.89,0.8809999999999999,0.469,0.416,0.055,0.018000000000000002,1.0,1.0,0.962,0.782
Azerbaijan,2.6,0.114,0.021,0.156,0.094,0.031,3.452,6.7170000000000005,0.114,1.165,WesternAsia,86600.0,9828.0,118.9,99.3,53049.0,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131.0,136.0,9143.0,8532.0,611.0,-222.0,1.3,54.6,1.6,2.1,,623.3,31.4,6.0,3.4,2.6,16.8,77.0,97.0,13.5,2459.0,61.0,0.14,0.62,0.688,0.746,0.6859999999999999,0.233,0.101,1.056,1.074,,,0.275,0.236,0.375,0.039,0.947,0.778,0.916,0.866
Bangladesh,6.1,0.001,0.035,0.055,,0.045,0.13,0.873,,0.124,SouthernAsia,147570.0,164670.0,1265.0,101.7,194466.0,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,141.0,140.0,36031.0,52624.0,-16593.0,2687.0,1.2,34.3,3.6,2.2,,233.0,33.3,2.8,0.4,1.9,20.3,14.4,151.0,11.0,1438.0,11.0,1.24,0.4320000000000001,0.8109999999999999,0.7290000000000001,0.698,0.284,0.073,1.251,1.16,0.674,0.598,0.114,0.154,0.732,0.005,0.865,0.87,0.5770000000000001,0.621
Belarus,21.4,0.2,0.063,0.116,0.285,,13.504,,,5.5139999999999985,EasternEurope,207600.0,9468.0,46.7,87.0,54609.0,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,122.0,122.0,23414.0,27464.0,-4050.0,-2037.0,,76.7,,1.6,,7.9,3.6,5.7,4.1,4.9,34.5,62.2,25.0,42.5,155.0,122.0,0.2,0.54,0.6779999999999999,0.777,0.665,0.16699999999999998,0.213,1.013,1.014,1.064,1.078,1.007,0.759,0.635,0.067,0.999,0.991,0.941,0.952
Belize,5.9,,1.948,2.227,0.278,0.278,1.392,3.34,,1.113,CentralAmerica,22966.0,375.0,16.4,99.2,1721.0,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97.0,97.0,246.0,952.0,-706.0,-175.0,2.2,44.0,1.9,2.6,,3.1,14.3,5.8,,6.4,9.4,41.6,117.0,60.1,9.0,36.0,1.68,0.5670000000000001,0.838,0.727,0.672,0.314,0.062,1.104,1.158,0.818,0.7979999999999999,0.287,0.179,0.005,0.014,0.989,1.0,0.935,0.882
